subject,predicate,object,label,file path
s 2 s+ att,implement,seq2seq with attention,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,NQG +,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG +,incorporate,copy mechanism,baselines,/content/training-data/question_generation/0/triples/baselines.txt
copy mechanism,deal with,rare words problem,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,NQG + STshare,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG + STshare,Based on,NQG +,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG + STshare,make,encoder and decoder,baselines,/content/training-data/question_generation/0/triples/baselines.txt
encoder and decoder,share,same embedding matrix,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Contribution,has,Ablation analysis,ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
Ablation analysis,has,answer position indicator,ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
answer position indicator,plays,crucial role,ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
crucial role,in,answer focused question generation,ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
Ablation analysis,show that,"word case , POS and NER tag features",ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
"word case , POS and NER tag features",contributes to,question generation,ablation-analysis,/content/training-data/question_generation/0/triples/ablation-analysis.txt
Contribution,has,Model,model,/content/training-data/question_generation/0/triples/model.txt
Model,denoted as,Neural Question Generation ( NQG ) framework,model,/content/training-data/question_generation/0/triples/model.txt
Neural Question Generation ( NQG ) framework,to generate,natural language questions from text,model,/content/training-data/question_generation/0/triples/model.txt
natural language questions from text,without,pre-defined rules,model,/content/training-data/question_generation/0/triples/model.txt
Model,has,answer position feature,model,/content/training-data/question_generation/0/triples/model.txt
answer position feature,denotes,answer span,model,/content/training-data/question_generation/0/triples/model.txt
answer span,in,input sentence,model,/content/training-data/question_generation/0/triples/model.txt
Model,has,lexical features,model,/content/training-data/question_generation/0/triples/model.txt
lexical features,to help produce,better sentence encoding,model,/content/training-data/question_generation/0/triples/model.txt
better sentence encoding,include,part - of - speech ( POS ,model,/content/training-data/question_generation/0/triples/model.txt
better sentence encoding,include,named entity ( NER ) tags,model,/content/training-data/question_generation/0/triples/model.txt
Model,has,decoder,model,/content/training-data/question_generation/0/triples/model.txt
decoder,with,attention mechanism,model,/content/training-data/question_generation/0/triples/model.txt
decoder,generates,answer specific question,model,/content/training-data/question_generation/0/triples/model.txt
answer specific question,of,sentence,model,/content/training-data/question_generation/0/triples/model.txt
Model,has,Neural Question Generation framework,model,/content/training-data/question_generation/0/triples/model.txt
Neural Question Generation framework,extends,sequence - to - sequence models,model,/content/training-data/question_generation/0/triples/model.txt
sequence - to - sequence models,by enriching,encoder,model,/content/training-data/question_generation/0/triples/model.txt
encoder,with,answer,model,/content/training-data/question_generation/0/triples/model.txt
encoder,with,lexical features,model,/content/training-data/question_generation/0/triples/model.txt
encoder,to generate,answer focused questions,model,/content/training-data/question_generation/0/triples/model.txt
Model,has,encoder,model,/content/training-data/question_generation/0/triples/model.txt
encoder,reads,input sentence,model,/content/training-data/question_generation/0/triples/model.txt
encoder,reads,answer position indicator,model,/content/training-data/question_generation/0/triples/model.txt
encoder,reads,lexical features,model,/content/training-data/question_generation/0/triples/model.txt
Contribution,has research problem,Neural Question Generation from Text,research-problem,/content/training-data/question_generation/0/triples/research-problem.txt
Contribution,has research problem,Automatic question generation,research-problem,/content/training-data/question_generation/0/triples/research-problem.txt
Contribution,has research problem,Automatic question generation from natural language text,research-problem,/content/training-data/question_generation/0/triples/research-problem.txt
Contribution,has research problem,question generation,research-problem,/content/training-data/question_generation/0/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/question_generation/0/triples/results.txt
Results,has,NQG framework,results,/content/training-data/question_generation/0/triples/results.txt
NQG framework,outperforms,PCFG - Trans and s 2s + att baselines,results,/content/training-data/question_generation/0/triples/results.txt
PCFG - Trans and s 2s + att baselines,by,large margin,results,/content/training-data/question_generation/0/triples/results.txt
Results,has,NQG ++,results,/content/training-data/question_generation/0/triples/results.txt
NQG ++,has,1.11 BLEU score gain,results,/content/training-data/question_generation/0/triples/results.txt
1.11 BLEU score gain,over,NQG +,results,/content/training-data/question_generation/0/triples/results.txt
Results,With the help of,copy mechanism,results,/content/training-data/question_generation/0/triples/results.txt
copy mechanism,has,NQG +,results,/content/training-data/question_generation/0/triples/results.txt
NQG +,has,2.05 BLEU improvement,results,/content/training-data/question_generation/0/triples/results.txt
Contribution,has,Approach,approach,/content/training-data/question_generation/1/triples/approach.txt
Approach,use,context,approach,/content/training-data/question_generation/1/triples/approach.txt
context,by considering,exemplars,approach,/content/training-data/question_generation/1/triples/approach.txt
Approach,use,difference,approach,/content/training-data/question_generation/1/triples/approach.txt
difference,between,relevant and irrelevant exemplars,approach,/content/training-data/question_generation/1/triples/approach.txt
Approach,uses,differential context,approach,/content/training-data/question_generation/1/triples/approach.txt
differential context,obtained through,supporting and contrasting exemplars,approach,/content/training-data/question_generation/1/triples/approach.txt
supporting and contrasting exemplars,to obtain,differentiable embedding,approach,/content/training-data/question_generation/1/triples/approach.txt
differentiable embedding,used by,question decoder,approach,/content/training-data/question_generation/1/triples/approach.txt
question decoder,to decode,appropriate question,approach,/content/training-data/question_generation/1/triples/approach.txt
Approach,consider,different contexts,approach,/content/training-data/question_generation/1/triples/approach.txt
different contexts,in the form of,"Location , Caption , and Part of Speech tags",approach,/content/training-data/question_generation/1/triples/approach.txt
Approach,propose,multimodal differential network,approach,/content/training-data/question_generation/1/triples/approach.txt
multimodal differential network,to solve,task,approach,/content/training-data/question_generation/1/triples/approach.txt
task,of,visual question generation,approach,/content/training-data/question_generation/1/triples/approach.txt
Contribution,has research problem,Visual Question Generation,research-problem,/content/training-data/question_generation/1/triples/research-problem.txt
Contribution,has research problem,Generating natural questions from an image,research-problem,/content/training-data/question_generation/1/triples/research-problem.txt
Contribution,has research problem,generating natural questions for an image,research-problem,/content/training-data/question_generation/1/triples/research-problem.txt
Contribution,has,Model,model,/content/training-data/smile_recognition/0/triples/model.txt
Model,In,second stage,model,/content/training-data/smile_recognition/0/triples/model.txt
second stage,has,output layer,model,/content/training-data/smile_recognition/0/triples/model.txt
output layer,consists of,two units,model,/content/training-data/smile_recognition/0/triples/model.txt
two units,for,smile or no smile,model,/content/training-data/smile_recognition/0/triples/model.txt
second stage,has,regular neural network,model,/content/training-data/smile_recognition/0/triples/model.txt
regular neural network,follows,convolutions,model,/content/training-data/smile_recognition/0/triples/model.txt
convolutions,to discriminate,features,model,/content/training-data/smile_recognition/0/triples/model.txt
features,learned by,convolutions,model,/content/training-data/smile_recognition/0/triples/model.txt
Model,has,novelty,model,/content/training-data/smile_recognition/0/triples/model.txt
novelty,is,"exact number of convolutions , number of hidden layers and size of hidden layers",model,/content/training-data/smile_recognition/0/triples/model.txt
"exact number of convolutions , number of hidden layers and size of hidden layers",subject to,model selection,model,/content/training-data/smile_recognition/0/triples/model.txt
"exact number of convolutions , number of hidden layers and size of hidden layers",are,not fixed,model,/content/training-data/smile_recognition/0/triples/model.txt
Model,has,convolution,model,/content/training-data/smile_recognition/0/triples/model.txt
